,food_id,food_group,food_subgroup,name_scientific,description
420,626,Beverages,Fermented beverages,,"Wine is an alcoholic beverage made from fermented grapes or other fruits. The natural chemical balance of grapes lets them ferment without the addition of sugars, acids, enzymes, water, or other nutrients. Yeast consumes the sugars in the grapes and converts them into alcohol and carbon dioxide. Different varieties of grapes and strains of yeasts produce different styles of wine. The well-known variations result from the very complex interactions between the biochemical development of the fruit, reactions involved in fermentation, terroir and subsequent appellation, along with human intervention in the overall process."
421,627,Beverages,Fermented beverages,,
422,630,Beverages,Distilled beverages,,"A distilled beverage, spirit, liquor, or hard liquor is an alcoholic beverage produced by distillation of a mixture produced from alcoholic fermentation, such as wine. This process purifies it and removes diluting components like water, for the purpose of increasing its proportion of alcohol content (commonly known as alcohol by volume, ABV). As distilled beverages contain more alcohol they are considered ""harder"" - in North America, the term hard liquor is used to distinguish distilled beverages from undistilled ones, which are implicitly weaker.
As examples, this does not include beverages such as beer, wine, and cider, as they are fermented but not distilled. These all have relatively low alcohol content, typically less than 10%. However, brandy is a spirit, is distinct as a drink from wine (due to distillation), and has an ABV over 35%. Other examples of common distilled beverages include vodka, gin, tequila, rum, whisky, as well as eau de vie (Fruit Brandy or Schnapps), baijiu, soju, aguardiente, pálinka, fernet, and slivovitz."
423,631,Dairy and Fat,Fermented milk products,,"Cheese is a food derived from milk that is produced in a wide range of flavors, textures, and forms by coagulation of the milk protein casein. It comprises proteins and fat from milk, usually the milk of cows, buffalo, goats, or sheep. During production, the milk is usually acidified, and adding the enzyme rennet causes coagulation. The solids are separated and pressed into final form. Some cheeses have molds on the rind or throughout. Most cheeses melt at cooking temperature."
424,632,Dairy and Fat,Unfermented milks,,"As an agricultural product, milk is extracted from mammals during or soon after pregnancy and used as food for humans. Worldwide, dairy farms produced about 730 million tonnes of milk in 2011, from 260 million dairy cows. India is the world's largest producer and consumer of milk, yet neither exports nor imports milk. New Zealand, the European Union's 28 member states, Australia, and the United States are the world's largest exporters of milk and milk products. China and Russia are the world's largest importers of milk and milk products.
Throughout the world, there are more than 6 billion consumers of milk and milk products. Over 750 million people live within dairy farming households. Milk is a key contributor to improving nutrition and food security particularly in developing countries. Improvements in livestock and dairy technology offer significant promise in reducing poverty and malnutrition in the world."
425,633,Protein,Eggs,,"An egg is the organic vessel containing the zygote, resulting from fertilization of the ovum, in which an animal embryo develops until it can survive on its own, at which point the animal hatches. Most arthropods, vertebrates, and mollusks lay eggs, although some do not, e.g. scorpions and most mammals.
Oviparous animals are those that lay eggs, with little or no other development within the mother. The study or collecting of eggs, particularly bird eggs, is called oology.
The term ""egg"" is used differently outside the animal kingdom. Reproductive structures similar to the egg in other kingdoms are termed ""spores,"" or in spermatophytes ""seeds,"" or in gametophytes ""egg cells""."
426,634,Dairy and Fat,Fermented milk products,,"Yogurt, yoghurt, or yoghourt is a fermented milk product produced by bacterial fermentation of milk. The bacteria used to make yogurt are known as ""yogurt cultures"". Fermentation of lactose by these bacteria produces lactic acid, which acts on milk protein to give yogurt its texture and its characteristic tang.
Worldwide, cow's milk, the protein of which is mainly casein, is most commonly used to make yogurt. Milk from water buffalo, goats, ewes, mares, camels, and yaks however, is also used to produce yogurt in various parts of the world."
427,638,Grains,Beans,,Bean is a common name for large plant seeds used for human food or animal feed of several genera of the family Fabaceae.
428,639,Beverages,Distilled beverages,,"Vodka is a distilled beverage composed primarily of water and ethanol, sometimes with traces of impurities and flavorings. Traditionally, vodka is made by the distillation of fermented grains or potatoes, though some modern brands use other substances, such as fruits or sugar."
429,640,Beverages,Distilled beverages,,"Whisky or whiskey is a type of distilled alcoholic beverage made from fermented grain mash. Different grains are used for different varieties, including barley, malted barley, rye, malted rye, wheat, and corn. Whisky is typically aged in wooden casks, made generally of charred white oak. Whisky is a strictly regulated spirit worldwide with many classes and types. The typical unifying characteristics of the different classes and types are the fermentation of grains, distillation, and aging in wooden barrels."
430,641,Processed Food,Frozen desserts,,"Ice cream (derived from earlier iced cream or cream ice) is a frozen dessert usually made from dairy products, such as milk and cream and often combined with fruits or other ingredients and flavours. Most varieties contain sugar, although some are made with other sweeteners. In some cases, artificial flavourings and colourings are used in addition to, or instead of, the natural ingredients. The mixture of chosen ingredients is stirred slowly while cooling, in order to incorporate air and to prevent large ice crystals from forming. The result is a smoothly textured semi-solid foam that is malleable and can be scooped."
431,642,Beverages,Distilled beverages,,"Gin is a spirit which derives its predominant flavour from juniper berries (Juniperus communis). From its earliest beginnings in the Middle Ages, gin has evolved over the course of a millennium from a herbal medicine to an object of commerce in the spirits industry. Today, the gin category is one of the most popular and widely distributed range of spirits, and is represented by products of various origins, styles, and flavor profiles that all revolve around juniper as a common ingredient."
432,643,Processed Food,Other confectioneries,,"Honey is a sweet food made by bees using nectar from flowers. The variety produced by honey bees is the one most commonly referred to, as it is the type of honey collected by beekeepers and consumed by humans. Honey produced by other bees and insects has distinctly different properties. Honey bees transform nectar into honey by a process of regurgitation and evaporation. They store it as a primary food source in wax honeycombs inside the beehive. Honey gets its sweetness from the monosaccharides, fructose, and glucose, and has approximately the same relative sweetness as that of granulated sugar. It has attractive chemical properties for baking, and a distinctive flavor that leads some people to prefer it over sugar and other sweeteners. Most microorganisms do not grow in honey because of its low water activity of 0.6. However, honey sometimes contains dormant endospores of the bacterium Clostridium botulinum, which can be dangerous to infants, as the endospores can transform into toxin-producing bacteria in the infant's immature intestinal tract, leading to illness and even death. Honey has a long history of human consumption, and is used in various foods and beverages as a sweetener and flavoring. It also has a role in religion and symbolism. Flavors of honey vary based on the nectar source, and various types and grades of honey are available. It is also used in various medicinal traditions to treat ailments. The study of pollens and spores in raw honey can determine floral sources of honey. Bees carry an electrostatic charge whereby they attract other particles in addition to pollen, which become incorporated into their honey; the honey can be analysed by the techniques of melissopalynology in area environmental studies of radioactive particles, dust and particulate pollution."
433,645,Processed Food,Seasonings,,"Vinegar is a liquid consisting mainly of acetic acid (CH3CO2H) and water. The acetic acid is produced by the fermentation of ethanol by acetic acid bacteria. Vinegar is now mainly used as a cooking ingredient, but historically, as the most easily available mild acid, it had a great variety of industrial, medical, and domestic uses, some of which (such as a general household cleanser) are still promoted today. Commercial vinegar is produced either by fast or slow fermentation processes. In general, slow methods are used with traditional vinegars, and fermentation proceeds slowly over the course of weeks or months. The longer fermentation period allows for the accumulation of a nontoxic slime composed of acetic acid bacteria. Fast methods add mother of vinegar to the source liquid before adding air using a venturi pump system or a turbine to promote oxygenation to obtain the fastest fermentation. In fast production processes, vinegar may be produced in a period ranging from 20 hours to three days."
434,646,Beverages,Distilled beverages,,"Rum is a distilled alcoholic beverage made from sugarcane byproducts, such as molasses, or directly from sugarcane juice, by a process of fermentation and distillation. The distillate, a clear liquid, is then usually aged in oak barrels. Rum can be referred to in Spanish by descriptors such as ron viejo (""old rum"") and ron añejo (""aged rum"")."
435,647,Beverages,Fortified wines,,"Port wine (also known as Vinho do Porto, Portuguese pronunciation: [ˌviɲuduˈpoɾtu], Porto, and usually simply port) is a Portuguese fortified wine produced exclusively in the Douro Valley in the northern provinces of Portugal. It is typically a sweet, red wine, often served as a dessert wine though it also comes in dry, semi-dry, and white varieties. Fortified wines in the style of port are also produced outside Portugal, most notably in Australia, South Africa, Canada, India, Argentina, and the United States. Under European Union Protected Designation of Origin guidelines, only the product from Portugal may be labelled as port or Porto. In the United States, wines labelled ""port"" may come from anywhere in the world, while the names ""Oporto"", ""Porto"", and ""Vinho do Porto"" have been recognised as foreign, non-generic names for Port wines originating in Portugal. Under European Union Protected Designation of Origin guidelines, only the product from Portugal may be labelled as port or Porto.[2] In the United States, wines labelled ""port"" may come from anywhere in the world,[3] while the names ""Oporto"", ""Porto"", and ""Vinho do Porto"" have been recognised as foreign, non-generic names for Port wines originating in Portugal. Port wine is typically richer, sweeter, heavier, and higher in alcohol content than unfortified wines. This is caused by the addition of distilled grape spirits (aguardente similar to brandy) to fortify the wine and halt fermentation before all the sugar is converted to alcohol, and results in a wine that is usually 19 to 20% alcohol. Port is commonly served after meals as a dessert wine in English-speaking countries, often with cheese, nuts or chocolate; white and tawny ports are often served as an apéritif. In Europe all types of port are frequently consumed as aperitifs.[Wikipedia]."
436,648,Beverages,Fortified wines,,"Vermouth is an aromatized fortified wine flavored with various botanicals (roots, barks, flowers, seeds, herbs, spices). The modern versions of the beverage were first produced in 1757 in Turin, Italy. Vermouth was consumed as a medicinal libation until the later 19th century when it became an important ingredient in many of the first classic cocktails, such as the martini, the Manhattan, and the Negroni. In addition to being consumed as an aperitif or cocktail ingredient, vermouth is sometimes used as a substitute for white wine in cooking. Historically, there have been two main types of vermouth, sweet and dry. Recently, however, vermouth manufacturers have begun experimenting and have created various styles, including white or bianco, amber, and rose. Vermouth is produced by starting with a base of a neutral grape wine. Each manufacturer adds additional alcohol and a proprietary mixture of dry ingredients, consisting of aromatic herbs, roots, and barks, to the base wine. After the wine is aromatized and fortified, the vermouth is sweetened with either cane sugar or caramel, depending on the style. Italian and French companies produce most of the vermouth consumed throughout the world."
437,649,Beverages,Fortified wines,,"Sherry is a fortified wine made from white grapes that are grown near the town of Jerez de la Frontera in Andalusia, Spain. Sherry is produced in a variety of dry styles made primarily from the Palomino grape, ranging from light versions similar to white table wines, such as Manzanilla and Fino, to darker and heavier versions that have been allowed to oxidise as they age in barrel, such as Amontillado and Oloroso. Sweet dessert wines are also made, from Pedro Ximenez or Moscatel grapes, and are sometimes blended with Palomino-based Sherries."
438,650,Beverages,Fortified wines,,"Madeira is a fortified Portuguese wine made in the Madeira Islands. Madeira is produced in a variety of styles ranging from dry wines which can be consumed on their own as an aperitif, to sweet wines more usually consumed with dessert. Cheaper versions are often flavoured with salt and pepper for use in cooking."
439,654,Processed Food,Desserts,,"Cake is a form of bread or bread-like food. In its modern forms, it is typically a sweet baked dessert. In its oldest forms, cakes were normally fried breads or cheesecakes, and normally had a disk shape. Determining whether a given food should be classified as bread, cake, or pastry can be difficult. Modern cake, especially layer cakes, normally contain a combination of flour, sugar, eggs, and butter or oil, with some varieties also requiring liquid and leavening agents. Flavorful ingredients like fruit purées, nuts, dried or candied fruit, or extracts are often added, and numerous substitutions for the primary ingredients are possible. Cakes are often filled with fruit preserves or dessert sauces, iced with buttercream or other icings, and decorated with marzipan, piped borders or candied fruit. Cake is often the dessert of choice for meals at ceremonial occasions, particularly weddings, anniversaries, and birthdays. There are countless cake recipes; some are bread-like, some rich and elaborate, and many are centuries old. Cake making is no longer a complicated procedure; while at one time considerable labor went into cake making (particularly the whisking of egg foams), baking equipment and directions have been simplified so that even the most amateur cook may bake a cake."
440,655,Processed Food,Other dishes,,"Pizza is an oven-baked flat bread typically topped with a tomato sauce, cheese and various toppings. The modern pizza was invented in Naples, Italy, and the dish has since become popular in many parts of the world. An establishment that makes and sells pizzas is called a ""pizzeria"". Many varieties of pizza exist worldwide, along with several dish variants based upon pizza. Pizza is cooked in various types of ovens, and a diverse variety of ingredients and toppings are utilized. In 2009, upon Italy's request, Neapolitan pizza was safeguarded in the European Union as a Traditional Speciality Guaranteed dish."
441,656,Dairy and Fat,Fermented milk products,,"Ymer is a Danish soured milk product which has been known since 1930. It is made by fermenting whole milk with the bacterial culture Lactococcus lactis. When producing fermented milk products such as yogurt, ymer, filmjölk, skyr, qvark and A-38, and also when producing cheese, one can add lactic acid bacteria which convert milk sugar in the milk into lactic acid and other substances. Acidity makes the milk thicker, gives it a tart flavor, and increases the shelf life by several days.
Unlike other fermented milk products, ymer is drained of its whey. That means that ymer has a higher content of solids, including protein, while the fat content stays at 3.5% as in whole milk.
Ymer is used in breakfasts, snacks, desserts, dressings and baking. The traditional breakfast topping is ymerdrys (""ymer sprinkle""), which is a mix of rugbrød breadcrumbs and brown sugar. 1 deciliter of ymer contains 146 kJ (35 kilocalories)."
442,657,Processed Food,Snack foods,,"A snack is a portion of food often smaller than a regular meal, generally eaten between meals. Snacks come in a variety of forms including packaged and processed foods and items made from fresh ingredients at home.
Traditionally, snacks were prepared from ingredients commonly available in the home. Often leftovers, cold cuts sandwiches, nuts, fruit, and the like were used as snacks. The Dagwood sandwich was originally the humorous result of a cartoon character's desire for large snacks. Beverages, such as coffee, are not generally considered snacks though they may be consumed along with snack foods. A beverage may be considered a snack if it possesses a substantive food item (e.g., strawberries, bananas, kiwis) that has been blended to create a smoothie.
Plain snacks like plain cereals, pasta, and vegetables are also mildly popular, and the word snack has often been used to refer to a larger meal involving cooked or leftover items. Six-meal eating is a form of eating that incorporates healthy snacks in between small meals, to stave off hunger and promote weight loss."
443,659,Grains,Flat breads,,"Crisp bread or hard bread (Swedish: knäckebröd, hårt bröd, hårdbröd, spisbröd, Danish: knækbrød, Norwegian: knekkebrød, Finnish: näkkileipä, hapankorppu, Icelandic: hrökkbrauð, German: Knäckebrot or Knäcke) is a flat and dry type of bread or cracker, containing mostly rye flour. It is popular in armies and schools because of its light weight and simple, transport-friendly shape. Also, it is very cheap and if stored in dry conditions it will keep fresh and edible for a very long time. Crisp bread is a staple food and was for a long time considered a poor man's diet. However, in recent years there has been renewed interest in crisp bread in the Nordic countries. [Wikipedia]"
444,660,Processed Food,Desserts,,"Pastry is the name given to various kinds of baked products made from ingredients such as flour, sugar, milk, butter, shortening, baking powder, and eggs. Small tarts and other sweet baked products are called ""pastries.""
Pastry may also refer to the dough from which such baked products are made. Pastry dough is rolled out thin and used as a base for baked products. Common pastry dishes include pies, tarts, quiches and pasties.
Pastry is differentiated from bread by having a higher fat content, which contributes to a flaky or crumbly texture. A good pastry is light and airy and fatty, but firm enough to support the weight of the filling. When making a shortcrust pastry, care must be taken to blend the fat and flour thoroughly before adding any liquid. This ensures that the flour granules are adequately coated with fat and less likely to develop gluten. On the other hand, overmixing results in long gluten strands that toughen the pastry. In other types of pastry such as Danish pastry and croissants, the characteristic flaky texture is achieved by repeatedly rolling out a dough similar to that for yeast bread, spreading it with butter, and folding it to produce many thin layers."
445,663,Processed Food,Other confectioneries,,"Marzipan is a confection consisting primarily of sugar or honey and almond meal, sometimes augmented with almond oil or extract. It is often made into sweets; common uses are marzipan-filled chocolate and small marzipan imitations of fruits and vegetables. It is also rolled into thin sheets and glazed for icing cakes, primarily birthday and wedding cakes and Christmas cakes. This use is particularly common in England, on large fruitcakes. Marzipan may also be used as a cake ingredient, as in stollen. In some countries, it is shaped into small figures of animals as a traditional treat for New Year's Day. Marzipan is also used in Tortell, and in some versions of king cake eaten during the Carnival season. Traditional Swedish Princess Cake is typically covered with a layer of marzipan that has been tinted pale green."
446,664,Processed Food,Dressings,,"Sauces for salads are often called ""dressings"". The concept of salad dressing varies across cultures.
In Western culture, there are three basic types of salad dressing:
Vinaigrette;
Creamy dressings, usually based on mayonnaise or fermented milk products, such as yogurt, sour cream (crème fraîche, smetana), buttermilk;
Cooked dressings, which resemble creamy dressings, but are usually thickened by adding egg yolks and gently heating.
Vinaigrette /v?n???r?t/ is a mixture (emulsion) of salad oil and vinegar, often flavored with herbs, spices, salt, pepper, sugar, and other ingredients. It is also used as a sauce or marinade.
In North America, mayonnaise-based Ranch dressing is most popular, with vinaigrettes and Caesar-style dressing following close behind. Traditional dressings in France are vinaigrettes, typically mustard-based, while sour cream (smetana) and mayonnaise are predominant in eastern European countries and Russia. In Denmark, dressings are often based on crème fraîche. In southern Europe, salad is generally dressed by the diner with oil and vinegar.
In Asia, it is common to add sesame oil, fish sauce, citrus juice, or soy sauce to salad dressings."
447,665,Processed Food,Sauces,,"In cooking, a sauce is liquid, creaming or semi-solid food served on or used in preparing other foods. Sauces are not normally consumed by themselves; they add flavor, moisture, and visual appeal to another dish. Sauce is a French word taken from the Latin salsa, meaning salted. Possibly the oldest sauce recorded is garum, the fish sauce used by the Ancient Romans. Sauces need a liquid component, but some sauces may contain more solid elements than liquid. Sauces are an essential element in cuisines all over the world. Sauces may be used for savory dishes or for desserts. They can be prepared and served cold, like mayonnaise, prepared cold but served lukewarm like pesto, or can be cooked like bechamel and served warm or again cooked and served cold like apple sauce. Some sauces are industrial inventions like Worcestershire sauce, HP sauce, or nowadays mostly bought ready-made like soy sauce or ketchup, others still are freshly prepared by the cook. Sauces for salads are called salad dressing. Sauces made by deglazing a pan are called pan sauces. A cook who specializes in making sauces is a saucier."
448,667,Dairy and Fat,Other milk products,,"Butter is a dairy product made by churning fresh or fermented cream or milk. It is generally used as a spread and a condiment, as well as in cooking applications, such as baking, sauce making, and pan frying. Butter consists of butterfat, water and milk proteins. Most frequently made from cows' milk, butter can also be manufactured from the milk of other mammals, including sheep, goats, buffalo, and yaks. Salt, flavorings and preservatives are sometimes added to butter. Rendering butter produces clarified butter or ghee, which is almost entirely butterfat. [Wikipedia]"
449,669,Dairy and Fat,Other milk products,,"Cream is a dairy product composed of the higher-butterfat layer skimmed from the top of milk before homogenization. Different grades of cream are distinguished by their fat content, whether they have been heat-treated, whipped, and so on. In many jurisdictions there are regulations for each type. [Wikipedia]"
450,671,Processed Food,Ground meat,,"Sausage is a food usually made from ground meat (normally pork or beef), mixed with salt, herbs, and other spices, although vegetarian sausages are available. Typically, a sausage is formed in a casing traditionally made from intestine, but sometimes synthetic. Some sausages are cooked during processing and the casing may be removed afterwards. Sausage making is a traditional food preservation technique. Sausages may be preserved by curing, drying, or smoking. [Wikipedia]"
451,673,Processed Food,Condiments,,"Mustard is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta; brown or Indian mustard, Brassica juncea; or black mustard, B. nigra). The whole, ground, cracked, or bruised mustard seeds are mixed with water, salt, lemon juice, or other liquids, and sometimes other flavorings and spices, to create a paste or sauce ranging in color from bright yellow to dark brown.
Commonly paired with meats and cheeses, mustard is a popular addition to sandwiches, salads, hamburgers, and hot dogs. It is also used as an ingredient in many dressings, glazes, sauces, soups, and marinades; as a cream or a seed, mustard is used in the cuisine of India, the Mediterranean, northern and southeastern Europe, Asia, the Americas, and Africa, making it one of the most popular and widely used spices and condiments in the world."
452,674,Processed Food,Ground meat,,"Pâté is a mixture of ground meat and fat minced into a spreadable paste. Common additions include vegetables, herbs, spices, and either wine or cognac, armagnac or brandy. Pâté can be served either hot or cold, but it is considered to develop its fullest flavor after a few days of chilling. [Wikipedia]"
453,677,Processed Food,Baking goods,,
454,679,Dairy and Fat,Other milk products,,"Whey (or Milk Serum) is the liquid remaining after milk has been curdled and strained. It is a by-product of the manufacture of cheese or casein and has several commercial uses. Sweet whey is manufactured during the making of rennet types of hard cheese like cheddar or Swiss cheese. Acid whey (also known as ""sour whey"") is obtained during the making of acid types of cheese such as cottage cheese. [Wikipedia]"
455,680,Dairy and Fat,Other milk products,,"Casein is the name for a family of related phosphoprotein proteins (alphaS1, alphaS2, beta, kappa). These proteins are commonly found in mammalian milk, making up 80% of the proteins in cow milk and between 60% and 65% of the proteins in human milk. Casein has a wide variety of uses, from being a major component of cheese, to use as a food additive, to a binder for safety matches. As a food source, casein supplies amino acids; carbohydrates; and two inorganic elements, calcium and phosphorus. [Wikipedia]"
456,681,Fruits,Fruit products,,"Fruit preserves are preparations of fruits and sugar, often canned or sealed for long-term storage. The preparation of fruit preserves today often involves adding commercial or natural pectin as a gelling agent, although sugar or honey may be used, as well. Jams, jellies and marmalades are all examples of different styles of fruit preserves that vary based upon the ingredients used. Additionally, the name of the type of fruit preserves will also vary depending on the regional variant of English being used.
[Wikipedia]"
457,682,Processed Food,Baking goods,,"A leavening agent is any one of a number of substances used in doughs and batters that causes a foaming action that lightens and softens the finished product. Formation of carbon dioxide is induced by chemical agents reacting with moisture, heat, acidity, or other triggers.
The leavening agent incorporates gas bubbles into the dough. The alternative or supplement to leavening agents is mechanical leavening by which air is incorporated by mechanical means. Most leavening agents are synthetic chemical compounds, but carbon dioxide can also be produced by biological agents. When a dough or batter is mixed, the starch in the flour mixes with the water in the dough to form a matrix (often supported further by proteins like gluten or other polysaccharides like pentosans or xanthan gum), then gelatinizes and ""sets""; the holes left by the gas bubbles remain."
458,683,Processed Food,Candies,,"Marshmallow is a confection that, in its modern form, typically consists of sugar and/or corn syrup, water, and gelatin, whipped to a spongy consistency and coated with corn starch. Some marshmallow recipes call for eggs. This confection is the modern version of a medicinal confection made from Althaea officinalis, the marshmallow plant."
459,684,Processed Food,Baking goods,,"Gelatin is a translucent, colorless, brittle (when dry), flavorless solid substance, derived from the collagen inside animals' skin and bones. It is commonly used as a gelling agent in food. It is found in some gummy candies as well as other products such as marshmallows, gelatin dessert, and some low-fat yogurt. Household gelatin comes in the form of sheets, granules, or powder. Instant types can be added to the food as they are; others need to be soaked in water beforehand. [Wikipedia]"
460,686,Protein,Fish products,,"Fish and fish products are consumed as food all over the world. With other seafoods, it provides the world's prime source of high-quality protein: 14?16 percent of the animal protein consumed worldwide. Over one billion people rely on fish as their primary source of animal protein.
Fish and other aquatic organisms are also processed into various food and non-food products."
461,687,Dairy and Fat,Unfermented milks,,"Milk is a white liquid produced by the mammary glands of mammals. It is the primary source of nutrition for young mammals before they are able to digest other types of food. Early-lactation milk contains colostrum, which carries the mother's antibodies to the baby and can reduce the risk of many diseases in the baby. It also contains many other nutrients."
462,689,Beverages,Other beverages,,
463,690,Processed Food,Baby foods,,"Baby food is any soft, easily consumed food, other than breastmilk or infant formula, that is made specifically for infants, roughly between the ages of four to six months to 2 years. The food comes in multiple varieties and tastes may be table food that the rest of the family is eating that has been mashed or otherwise broken down or can be purchased prepared from manufacturers."
464,692,Processed Food,Other dishes,,"Soup is a generally warm food that is made by combining ingredients such as meat and vegetables with stock, juice, water, or another liquid. Hot soups are additionally characterized by boiling solid ingredients in liquids in a pot until the flavors are extracted, forming a broth. Soups are similar to stews, and in some cases there may not be a clear distinction between the two; however, soups generally have more liquid than stews. Here is a ""list of soups"":http://en.wikipedia.org/wiki/List_of_soups. [Wikipedia]"
465,693,Vegetables,Vegetable products,,
466,694,Other,Unclassified,,
467,695,Processed Food,Baking goods,,"In cooking, a syrup or sirup is a thick, viscous liquid consisting primarily of a solution of sugar in water, containing a large amount of dissolved sugars but showing little tendency to deposit crystals. The viscosity arises from the multiple hydrogen bonds between the dissolved sugar, which has many hydroxyl (OH) groups, and the water. Syrups can be made by dissolving sugar in water or by reducing naturally sweet juices such as cane juice, sorghum juice, or maple sap. Corn syrup is made from corn starch using an enzymatic process that converts it to sugars. Technically and scientifically, the term syrup is also employed to denote viscous, generally residual, liquids, containing substances other than sugars in solution."
468,696,Dairy and Fat,Animal fats,,"Tallow is a rendered form of beef or mutton fat, processed from suet. It is solid at room temperature. Unlike suet, tallow can be stored for extended periods without the need for refrigeration to prevent decomposition, provided it is kept in an airtight container to prevent oxidation. In industry, tallow is not strictly defined as beef or mutton fat. In this context, tallow is animal fat that conforms to certain technical criteria, including its melting point. It is common for commercial tallow to contain fat derived from other animals, such as lard from pigs, or even from plant sources."
469,698,Processed Food,Spreads,,"Chocolate spread is a chocolate-flavoured paste which is eaten mostly spread on breads and toasts or similar pastries such as muffins and pitas. Chocolate spread is a product often favored by children and serves as a prevalent spread on their sandwiches. Some adults enjoy chocolate spread sandwiches as a comfort food. Although it tastes, smells, and looks like chocolate it does not solidify. The paste usually contains cocoa and oil, and is also likely to contain milk and additional taste and smell components. At times it also includes nuts or honey. Chocolate spread is normally sold in glass jars or plastic tubs."
470,701,Processed Food,Candies,,"Candy, also called sweets or lollies, is a confection that features sugar as a principal ingredient. The category, called sugar confectionery, encompasses any sweet confection, including chocolate, chewing gum, and sugar candy. Vegetables, fruit, or nuts which have been glazed and coated with sugar are said to be candied.
Physically, candy is characterized by the use of a significant amount of sugar, or, in the case of sugar-free candies, by the presence of sugar substitutes. Unlike a cake or loaf of bread that would be shared among many people, candies are usually made in smaller pieces. However, the definition of candy also depends upon how people treat the food. Unlike sweet pastries served for a dessert course at the end of a meal, candies are normally eaten casually, often with the fingers, as a snack between meals. Each culture has its own ideas of what constitutes candy rather than dessert. The same food may be a candy in one culture and a dessert in another."
471,704,Dairy and Fat,Animal fats,,"Animal fats and oils are lipid materials derived from animals. Physically, oils are liquid at room temperature, and fats are solid. Chemically, both fats and oils are composed of triglycerides. Although many animal parts and secretions may yield oil, in commercial practice, oil is extracted primarily from rendered tissue fats obtained from livestock animals like pigs, chickens and cows. Dairy products also yield popular animal fat and oil products such as cheese, butter, and milk.
Flesh and animal fat have a melting temperature of 184 °C, a boiling point of around 200 °C and an ignition point of 280 °C where it will burst into flames without spark. Certain substances such as goose fat produce a higher smoke point than other animal fats, but are still lower than many vegetable oils such as olive or avocado. "
472,707,Beverages,Cocoa products,,"Cocoa solids are the low-fat component of chocolate. When sold as an end product, it may also be called cocoa powder, cocoa, and cacao. In contrast, the fatty component of chocolate is cocoa butter. Cocoa butter makes up for 50% to 57% of the weight of cocoa beans and gives chocolate its characteristic melting properties. Cocoa liquor is the melted combination of cocoa butter and cocoa solids. Cocoa solids are obtained by extraction from the cocoa bean. [Wikipedia]"
473,709,Beverages,Cocoa products,,"Chocolate is a range of products derived from cocoa, mixed with fat (i.e. cocoa butter and/or plant oils) and finely powdered sugar to produce a solid confection. There are several types of chocolate according to the proportion of cocoa used in a particular formulation. The use of particular name designations is sometimes subject to governmental regulation. [Wikipedia]"
474,710,Beverages,Cocoa products,,"Hot chocolate (also known as hot cocoa or just cocoa or chocolate milk) is a heated beverage typically consisting of shaved chocolate, melted chocolate or cocoa powder, heated milk or water, and sugar. Drinking chocolate is similar to hot chocolate, but is made from melted chocolate shavings or paste, rather than a powdered mix that is soluble in water, and is usually not as sweet. [Wikipedia]"
475,711,Dairy and Fat,Other milk products,,"Powdered milk is a manufactured dairy product made by evaporating milk to dryness. One purpose of drying milk is to preserve it; milk powder has a far longer shelf life than liquid milk and does not need to be refrigerated, due to its low moisture content. Another purpose is to reduce its bulk for economy of transportation. Powdered milk and dairy products include such items as dry whole milk, nonfat dry milk, dry buttermilk, dry whey products and dry dairy blends. [Wikipedia]"
476,712,Dairy and Fat,Unfermented milks,,"As an agricultural product, milk is extracted from mammals during or soon after pregnancy and used as food for humans. Worldwide, dairy farms produced about 730 million tonnes of milk in 2011, from 260 million dairy cows. India is the world's largest producer and consumer of milk, yet neither exports nor imports milk. New Zealand, the European Union's 28 member states, Australia, and the United States are the world's largest exporters of milk and milk products. China and Russia are the world's largest importers of milk and milk products.
Throughout the world, there are more than 6 billion consumers of milk and milk products. Over 750 million people live within dairy farming households. Milk is a key contributor to improving nutrition and food security particularly in developing countries. Improvements in livestock and dairy technology offer significant promise in reducing poverty and malnutrition in the world."
477,713,Dairy and Fat,Fermented milks,,"Kefir (alternately kef?rs, keefir, kephir, kewra, talai, mudu kekiya, milkkefir, búlgaros) is a fermented milk drink that originated with shepherds of the North Caucasus region, who discovered that fresh milk carried in leather pouches would occasionally ferment into an effervescent beverage. It is prepared by inoculating cow, goat, or sheep's milk with kefir grains. Traditional kefir was made in skin bags that were hung near a doorway; the bag would be knocked by anyone passing through the doorway to help keep the milk and kefir grains well mixed. [Wikipedia]"
